Name,Year Published,Users Rated,Rating Average
Charlemagne: Dark Ages in Europe,1998,60,6.47
Find Your Seats,2017,58,6.47
Spoilers: The Game - Travel Edition,2020,34,6.91
Ophidian 2350 CCG,2003,84,6.31
Lettow-Vorbeck East Africa 1914-1918,2015,39,6.79
Deal: American Dream,2015,70,6.67
Crusades II,1994,62,6.28
Kniffel Extreme,2011,63,6.33
Karma,2014,253,5.8
LIXO?,2011,83,6.07
Third and Long: The Football Card Game,2010,54,6.53
Queen Bee,2020,51,8.42
Demonslayer: Siege of Mt. Kunlun,2014,66,6.47
Arkeis,2021,46,7.88
Armies of Arcana,1997,46,7.89
Hit the Throttle!,2010,76,6.13
Murder at Blood Mansion,2017,56,7.06
Dark Matter,2015,67,6.37
Allies: Realm of Wonder,2015,76,6.43
Pumpkin Patch: Bad Seeds,2019,76,6.46
Easy Breezy Travel Agency,2014,212,5.74
Mow Money,2016,166,5.88
Pencilvillage,2019,36,7.16
Gladiator: Quest for the Rudis,2016,52,6.9
8-Bit Invaders,2011,52,6.75
Berserker Halflings from the Dungeon of Dragons,2005,180,5.8
Napoleon and the Archduke Charles: The Battle of Aspern-Essling,1986,67,6.29
Amerigo,2008,149,5.85
Xtronaut: The Game of Solar System Exploration,2016,123,6.21
UNO Rummy-Up,1993,130,5.91
Embers of Memory: A Throne of Glass Game,2019,48,6.69
Streets,2021,35,7.14
Cabaret,2015,39,6.69
The Black Prince,1992,56,6.38
Shuttles,1973,266,5.72
The Patrons of Venice,2004,42,6.72
Pirates of the Caribbean: Master of the Seas Strategy Game,2011,53,6.72
Pretense,2015,299,5.74
The Cat Game,2017,221,5.81
On to Paris 1870-1871: The Franco-Prussian War,2016,39,7.21
"The Finnish Front, 1941-42",2009,42,6.71
Bloody Buna,1979,39,6.9
PJ Masks: Team of Heroes,2018,36,6.85
Fatal Frame: The Card Game,2005,35,6.91
Warhammer Age of Sigmar: Storm of Sigmar,2016,39,6.92
Globe Twister,2018,71,6.32
The Battle of Britain,1968,54,6.51
Calciomania,1985,54,6.59
Infected,2017,287,5.81
Civicus Dice Game,2015,44,6.72
Spicy Dice,2018,79,6.15
Silk Road Maker,2009,36,6.78
Rewordable,2017,81,6.43
Liebrary,2005,107,6.05
Squirmish,2016,49,6.68
All Queens Chess,2008,119,6.1
The Coldest Night,2020,72,6.25
Football Stars: Jogo de Cartas Ilustradas,2013,36,8.04
Moneybags,2018,181,5.81
Gruntz 15mm Sci-Fi,2010,32,7.84
Spinnengift und Krötenschleim,2012,70,6.18
Scribe's Arena,0,43,6.57
Trivial Pursuit: DVD - The Lord Of The Rings Trilogy Edition,2004,240,5.87
Epic of the Peloponnesian War,2006,102,6.18
"Operation Anaconda: Battle in Afghanistan, March 2002",2012,35,6.85
Epic Solitaire Notebook Adventures,2009,33,7.3
RPGQuest: A Jornada do Herói,2017,39,8.81
The Fall of Rome,1973,163,5.92
Shelfie Stacker,2021,38,7.06
Bollox,1999,45,6.74
Siege of Sunfall,2016,31,7.51
Der unendliche Fluss,2014,107,5.98
Yum Yum Island,2019,43,6.6
Paradisio,2010,81,6.11
Spree!,1997,293,5.73
Nimbee,2017,89,6.03
Tattoo Stories,2019,49,6.9
Mamba,2001,73,6.31
The Aquicorn Cove Board Game,2019,86,6.23
Sakkara,2007,139,5.9
The Omega War,1983,46,6.66
MS Batory,2017,120,5.99
Ghost Division: The 7th Panzer Division's Drive to the Sea,2014,35,6.99
Guess Who? Extra,2008,262,5.74
Star Trek III,1985,109,6.1
Mystick Companion,2000,41,6.61
Space Battle Lunchtime Card Game,2020,40,7.03
Ludus Gladiatorius 2,2007,35,6.8
Somosierra 1808,2008,38,6.84
Des chiffres et des lettres,1983,121,5.99
War of the Worlds,2014,32,6.92
Tunisie 1943,1995,38,6.86
Soqquadro,2014,96,6.1
Death Note Investigation Card Game,2009,84,6.39
Yohei,2020,36,7.86
Strange Synergy,2003,404,5.77
Mare Nostrum: War in the Mediterranean,2015,42,6.92
Sneaky Cards,2015,99,6.12
Blam!,2005,54,6.35
Clue Suspect,2010,436,5.7
Invers,1991,105,5.98
The Lord of the Rings Dice Building Game,2013,636,5.64
Tzulan Quest,2016,73,6.15
Fanhunter: Assault,2018,100,6.17
Seat Wars,2018,31,7.68
Tell Tale,2010,166,5.85
Rory's Story Cubes: Rescue,2016,48,6.61
"The Battle of Austerlitz, December 2, 1805",1980,71,6.22
War For the Motherland,1994,36,7.27
Battlelines: The Stalingrad Campaign,2003,63,6.36
Dragon Chess,2005,31,7.18
"Here, Fishy, Fishy!",2012,169,5.81
Pentaurus: Duel,2017,45,6.81
Cthulhu in the House,2016,102,6.03
Animagicians,2017,43,7.53
Autumn Harvest: A Tea Dragon Society Game,2020,32,7.13
Forks,2019,43,6.61
Spin Monkeys,2012,176,5.85
Caprice,1999,136,5.92
Under My Bed,2016,97,6.03
Aether Captains: Pirates and Traders,2011,35,7.1
Eagles of the Empire: Friedland,1995,53,6.6
Munchkin Spell Skool,2017,53,6.8
Cat Town,2016,118,5.99
Pour Dieu et pour le Roy,2005,34,7.03
Before the Earth Explodes,2018,67,6.23
Austerlitz 1805: Napoleon's Greatest Victory,2000,101,6.06
Three of a Crime,1991,161,5.82
Prochorovka: Armor at Kursk,1979,71,6.32
Happy Birthday!,2014,120,5.99
Botanists,2019,72,6.24
Stratego Conquest,2015,66,6.32
Catlantis,2019,94,6.23
Target: Iran,2014,35,6.79
Renju,0,84,6.12
SchuhBidu,2011,128,5.93
Bounce-Off,2013,509,5.7
Honeymoon,2020,38,6.7
My Kind of Town,2010,69,6.23
UNDO: Treasure Fever,2019,48,6.63
"Pegasus Bridge: The Beginning of D-Day - June 6, 1944",1988,126,5.99
APBA Pro Hockey,1993,72,6.29
Bermuda Pirates,2019,57,6.38
Stalag 17,2011,209,5.87
An Evening With Bram Stoker's Dracula,1992,42,6.54
MAMEY,2018,40,6.64
Astoria,2006,115,5.94
7 & 7,2016,57,7.46
Actionworks,2013,40,6.91
Guild,2011,32,6.9
Rebels & Redcoats: Volume I,1995,58,6.28
Red HINT,2017,39,6.77
Mai '68 Le jeu,1980,37,6.91
Killing Code: Venice Vendetta,2017,38,6.94
Red Tide West: The Cold War & World War III in Europe,2014,47,6.63
Veracruz: U.S. Invasion of Mexico 1847,1977,146,6.03
Element,2008,46,6.69
On the Rocks,2021,38,7.82
Halali,1997,101,6.16
Marvin Marvel's Marvelous Marble Machine,2005,61,6.27
Wo ist bitte Umtata?,2015,71,6.35
Monsoon Market,2014,62,6.2
Tranquility Base,2006,41,7.05
Gonnect,2000,35,6.95
Fire,1996,77,6.1
Sandwich Masters,2016,56,6.65
Ripple Rush,2020,64,6.33
Top Banana,1999,79,6.16
Cults Across America,1998,389,5.68
Star Blazers Fleet Battle System,1997,37,7.04
Joker Marbles,1970,63,6.48
Diceland: Cyburg,2005,31,6.93
Mia London and the Case of the 625 Scoundrels,2020,43,6.58
Vietnam Battles: Snoopy's Nose & Iron Triangle,2013,32,7.11
Dreamwars,2017,80,6.23
The Great Chili Cookoff,2006,182,5.83
Sports Dice: Football,2018,34,6.95
Sounds Like a Plan,2010,89,6.04
Electronic Taboo,2001,46,6.61
Wiener Walzer,2016,56,6.35
Who Stole Ed's Pants?,2001,287,5.68
Aether Captains: Clockwork Cabal,2011,77,6.24
Renaissance Wars,2015,116,6.43
Imperial Harvest,2015,64,6.54
Tabletop Pathologic,2016,88,6.61
Zombie Town,2011,88,6.1
Warlords of Erehwon Rulebook,2019,30,8.0
Danmaku!!,2016,45,7.26
3 Secrets: Crime Time,2019,41,6.7
Southern Rails,2015,56,6.3
Pirates & Plunder,2004,40,6.77
"Sheep, Dogs and Wolves",2012,37,6.94
Lightning: Poland,2008,81,6.13
Nisyros,2016,53,6.76
Greater East Asia War,2009,44,6.8
The Perfect Moment,2019,92,6.25
Drive on Damascus,1981,48,6.6
Ticket to Mars,2017,106,6.04
Primate Fear,2013,126,5.99
Mindburners,2020,33,7.27
Marvel Heroclix: Infinity Challenge - Premiere Edition,2002,51,6.5
Buttons,2015,283,5.69
A Night in Deepwail Manor,2013,43,6.72
Elven Castle,2013,34,7.03
Sake & Samurai,2011,181,5.98
Clutch Baseball,2017,57,8.44
On a Scale of One to T-Rex,2019,117,6.13
Army Ants,2008,53,6.44
Peloton,1991,36,7.0
Paiko,2012,30,8.02
The Current Number of the Beast,2012,141,6.08
Grund,2019,45,7.46
Lex in Lemniscate,2016,44,6.72
Toire o Yogoshita nowa Dareda?,2016,44,6.51
LANTERN,2019,55,6.99
Omertà: Clan ohne Plan,2013,33,7.12
"Yeoman: Tactical Warfare in the Renaissance Age, 1250-1550",1975,58,6.4
Cats,2018,56,6.3
Warsaw Pact,1976,46,6.89
UNO Flash,2007,123,5.98
Pixel Lincoln: The Deckbuilding Game,2013,286,5.76
Auf der Walz,2019,54,6.26
Rory's Story Cubes: Strange,2017,42,6.78
Anansi and the Box of Stories,2017,68,6.29
Flashlights & Fireflies,2015,119,5.94
Katoiz,2004,43,6.64
Curators,2021,40,7.18
Monster's Coffee,2020,35,6.82
Constantinople,2019,30,7.45
Battle of the Atlantic,2000,36,6.72
Arnhem '44: The Operation Market Garden Boardgame,2010,32,7.13
European Union: The Board Game,2015,34,6.92
Legends of the High Seas,2008,31,6.66
Postcard Dungeons,2018,75,6.4
Rocca Rails,2014,48,6.42
Skittle-Bowl,1783,83,6.21
Bushido Breaker,2017,37,6.81
"Dwarves: Dig, Delve, Die",2017,67,6.31
Chinese Farm: Egyptian-Israeli Combat in the '73 War,1975,84,6.21
Border War: Angola Raiders,2012,65,6.23
Vietnam Solitaire,2006,44,6.88
L'Arbre,2017,59,6.34
bezzerwizzer kompakt,2010,52,6.41
Rally: Risk and Evaluation on All Roads in the Worlds,1980,47,6.56
Go/Stop,2005,76,6.09
Mechanical Beast,2019,32,7.06
Coloretto,1993,41,6.65
Rescue Animals,2019,55,6.31
Battles & Leaders: A Game of Tactical Level Combat in the American Civil War 1861-1865,1981,50,6.64
Business,1998,79,6.09
Mauna Kea,2013,210,5.74
Insidious Sevens,2010,74,6.33
Card Goblins,2012,52,6.76
Cineplexity,2007,326,5.7
Personality,1995,78,6.17
Cold War Battles 2: Pentomic Wurzburg & Kabul '79,2010,45,6.69
Poker Assault,2016,67,6.27
Mech Command RTS,2018,44,7.08
TF22: RELOAD!,2013,36,6.84
Lancelot,2017,137,6.17
Crossword Pyramids,2004,51,6.4
Where's Mr. Wolf?,2018,60,6.37
Luftwaffe: Aerial Combat - Germany 1943-45,2007,54,6.6
Tet '68,1992,67,6.32
2491 Planetship,2020,33,7.13
Zankapfel,1993,62,6.29
Burgle Bros 2: The Casino Capers,2021,31,7.49
Plantopia: The Card Game,2020,46,6.85
Tie One On,2006,43,6.65
"Assault on Sevastopol: Von Manstein in the Crimea, 1942",2008,40,6.78
Chinese Chess,1981,92,6.11
Rocketmen: Axis of Evil,2005,170,5.89
Dahschur: Die Rote Pyramide,2012,59,6.86
Rommel at Bay,1984,39,6.86
NecronomiCORP,2016,64,6.76
Superfight: The Anime Deck,2015,68,6.57
"Saipan: Conquest of the Marianas, June 1944",1975,42,6.65
Starship Command,1991,41,6.93
King Thief Minister,2019,41,7.56
Catherine the Great,2005,62,6.34
XYbrid,2017,48,6.7
Get to the Chopper!!!,2006,49,6.61
Spinnentwist,2005,46,6.45
Dungeon Plungin',2007,48,7.02
Grunwald 1410,1992,121,6.01
Hellfire Pass,1985,55,6.45
The Battle of Stalingrad,2012,31,7.12
Into the Black Forest,2019,56,6.67
City of Guilds,2009,46,6.59
Shattered States,1990,47,6.56
Mississippi,1987,155,5.85
Potions Class,2018,60,6.31
"Take The ""A"" Chord",2015,81,6.14
Col-Or-Form,2014,47,6.4
Das Quiz des 20. Jahrhunderts,1998,38,6.72
Fleets 2025: East China Sea,2008,40,6.77
Candy Lab,2020,44,6.73
Dash! A whimsical race through Singapore,2012,54,6.35
Inoka,2018,127,6.03
Firestorm,2001,57,6.31
Alexandria,2017,259,5.71
Fusion,2011,102,6.01
Hau La,2009,72,6.11
Dream Cruise,2021,34,7.02
Jackpot Yahtzee,1980,90,6.0
Korea: Fire and Ice,2018,33,7.06
Shift: The Single Card CCG,2013,135,6.27
Doxie Dash,2018,52,6.6
Zodiac Clash,2019,58,6.43
The Big Push: The Battle of the Somme,2005,52,6.43
Quix!,2018,38,7.35
Havenfall,2017,39,7.74
Rincala,2014,34,6.84
American Civil War 1861-1865,1983,68,6.28
Kobold,2018,38,6.73
AssassinCon,2016,200,5.76
"Red God of War: The Soviet Operation Mars, 1942",2005,67,6.31
Judge Dredd: Block War,2018,66,6.88
Columbus,1991,160,5.82
Die Osterinsel,1994,214,5.76
Quandary,1970,60,6.39
Doctor Who: Exterminate! The Miniatures Game,2017,52,7.26
Soldier King,1982,117,5.94
Zombie Terror,2016,50,6.49
Monster Mash,1987,192,5.79
Aachen,1983,53,6.5
Seasons: The Calendar Rummy Game,2004,85,6.23
Papageno,2020,44,6.58
Drachensachen,2019,53,6.66
Monster! Monster!,2019,30,7.57
Bodyguard Overlord,1994,36,6.91
Shot and Shell: Naval Combat in the Civil War,1987,31,7.36
Julchen und die Monster,2006,95,5.92
"Yetisburg: Titanic Battles in History, Vol. 1",2008,271,5.74
Mini Miners,2019,37,7.53
Space Bastards,2011,178,5.83
Rebels & Redcoats: Volume III,2004,42,6.63
Incantris,2017,54,6.64
Dark Assembly,2015,43,6.7
Ascendants of Aetheros,2016,65,6.24
X-Machina,2003,94,6.02
Fly Down,2017,34,7.4
Krom,2018,41,6.81
Ragnarök: Aesir and Jötunn,2011,40,6.67
Götterdämmerung,2001,58,6.38
Hogs Of War: The Miniatures Game,2020,123,8.8
Gämsh Alpin,2016,35,6.85
Wabanti,1974,83,6.03
1792: La Patrie en Danger,1991,31,7.13
Modigliani,1993,37,6.91
Lumacorsa,2012,77,6.25
The Last Blitzkrieg,1994,46,6.74
The Other Hat Trick,2013,40,6.77
Acqua Dolce,2009,110,5.96
Fateful Lightning,1994,36,6.95
Alpha Playing Cards,1997,39,6.78
Brandubh,0,37,6.73
Sherlock Holmes: Baker Street Irregulars,2019,37,7.02
Greedy Dragons,2018,50,6.69
Stand at Mortain,2006,147,5.88
Ludoviel,2003,86,6.03
"Mirror, Mirror",2011,80,6.05
Space Marine Adventures: Rise of the Orks,2020,35,6.83
Above,2019,39,6.9
Necromancer,1982,86,6.06
Six Sons of the Sultan,2014,46,6.51
The Forgotten Planet,2011,107,5.96
Smoke & Mirrors,2015,52,6.35
Tallinn,2016,112,5.91
Linkee 3,2018,40,6.93
Agincourt: The Triumph of Archery over Armor,1978,78,6.04
The Kingdoms of Crusaders,2007,130,5.98
Prince of Chaos: Battle for Tae Orn,2008,61,6.56
Ice War,1978,129,5.98
Legends and Lies,2014,43,6.9
Rory's Story Cubes: Rampage,2017,44,6.73
Smugglers,2016,246,5.78
Triumph & Fall of the Desert Fox,1998,40,6.7
PATIOS,2020,33,7.28
Ruweisat Ridge: The First Battle of El Alamein,1985,70,6.26
Zombie Survival: The Board Game,2010,304,5.67
Die Insel der steinernen Wachter,2009,49,6.73
Mayday,1978,147,5.86
Cubeez,2018,62,6.31
Wallet,2017,115,6.06
Pirates! Card Game,2014,69,6.29
Sherwood Showdown,2009,48,6.5
Imperial Sunset: The Battle of Leyte Gulf 1944,2006,49,6.68
MERCS: Conflict,2014,96,6.04
Turning Point: The Battle of Stalingrad,1972,55,6.59
Disney Eye Found It!: Hidden Picture Card Game,2015,68,6.42
Celtic Quest,2005,81,6.1
Dragons of Glory,1986,71,6.21
Rattaneer,2017,41,6.53
Coast-to-Coast Rails,2009,39,6.59
The Chinese Civil War of 1930,2010,31,6.91
Buraco,0,58,6.3
Bomber: A Game of Daylight Bombing of Europe,1982,46,6.74
Stock hold'em,2018,41,6.53
QANGO,2016,179,5.79
Jungle Speed: 20 Years,2014,47,6.6
Nuts!,2011,761,5.63
All Quiet on the Martian Front,2014,44,6.96
Scotland Yard Junior,2014,76,6.02
Rappakalja Extreme,2008,93,6.15
You Gotta Be Kitten Me!,2016,141,5.85
Road Rally USA,2013,107,5.93
Proteus,1983,35,6.93
Hawken: Real-Time Card Game - Sharpshooter vs. Bruiser,2014,44,6.5
Brutus,2017,30,6.9
Dungeons & Dragons Chainmail,2001,115,5.95
Formissimo,2008,42,6.51
Wayward,2019,35,7.54
Consensus Movie Edition,2009,38,6.79
Genesis,2010,297,5.68
Forceball,2006,87,6.11
Zombiegeddon,2009,234,5.72
Nobjects,2019,49,6.43
Imagidice!,2000,48,6.35
Lemonade Stall,2010,32,7.3
Barnyard Buddies,1996,223,5.72
Heróis de San Villano,2019,31,7.18
Donkey: It's a Kick!,2011,49,6.78
My Fair Princess,2015,44,6.49
El Cinéfilo,2013,56,6.54
Omerta,2019,59,6.31
Valerian: The Alpha Missions,2017,59,6.3
Hinge of Fate,2013,31,6.85
Pictopia: Disney Edition,2014,180,5.8
Grimoire Shuffle,2012,61,6.28
Battleship: Hidden Threat,2011,227,5.84
Venice,2021,34,6.93
Ninja Squad,2018,67,6.23
WW2 Deluxe: The War in Europe,2018,32,6.85
Thieves of Bagdad,1999,118,5.98
Poetry Slam,2018,43,6.48
The Toledo War,2019,37,6.79
Odysseus,2001,216,5.72
Hannibal: Rome and Carthage in The Second Punic War 219-202 B.C.,1983,32,6.86
Holiday!,1973,39,6.61
Kingsport Festival: The Card Game,2017,104,6.0
"Die Welt: Singapur, wo liegt das nur?",2013,72,6.11
The Great War 1914-1918,1976,45,6.58
Pusher,1993,77,6.04
Back to the Future: An Adventure Through Time,2016,210,5.78
Head-to-Head Poker,2005,203,5.75
Alexander's Campaign,2017,37,6.77
Nightmare Forest: Alien Invasion,2017,59,6.84
Collapse,2015,68,6.29
Over the Top: Command Decision Series Game,1990,33,7.09
Guardians' Chronicles: Clash of Heroes,2017,34,7.06
Vikingjarl,2020,43,7.7
H.I.D.E.: Hidden Identity Dice Espionage,2015,181,5.82
Mwahahaha!,2008,454,5.67
Ultimate Scheme,2016,41,7.14
Fish Stix,2009,80,6.02
Friesen-Törn,2005,50,6.34
Shooting Stars: A Tactical Game of Fighter Combat in Space,1980,55,6.45
Spectrangle,1989,251,5.77
Meatgrinder: Battle for  Xuân Lộc 1975,2011,33,6.89
Corona,1974,51,6.58
The Hobbit: An Unexpected Party,2020,31,7.06
"Armati: Rules and Lists for Ancient, Medieval & Renaissance Wargaming",1994,35,6.8
Death Show TV,2017,67,6.5
C. C. Higgins Rail Pass,2014,56,6.3
Wild Fun West,2012,124,5.87
Creatures and Cupcakes,2019,76,6.16
Voice of the Mummy,1971,36,7.74
Osaki ni Shitsurei Shima-su!!,2008,75,6.09
Battlegame Book 4: World War II,1975,37,6.84
Mad Scientist University,2005,165,5.78
Miss Monster,2005,49,6.36
Aether,2010,131,5.83
Operation Pegasus,1980,64,6.39
Wakanda Forever,2019,78,6.35
Uglydoll Loonacy,2016,46,6.41
"25 Words or Less: People, Places and Things Edition",2006,33,6.9
Docteur Pilule,2016,44,6.76
Nuba,1995,52,6.35
Startropolis,2019,65,6.51
Da Yu: The Flood Conqueror,2014,41,6.56
Tinker Tailor,2015,66,6.48
Pirates!,2005,186,5.76
TRUT,2017,44,6.61
Articulate! Your Life,2010,95,6.1
Village in a Box,2013,111,6.1
Head of Mousehold,2017,41,6.84
The Awful Orphanage,2019,85,6.37
Der Herr der Ringe: Die Zwei Türme - das Kartenspiel,2002,183,5.78
Bear Down!,2019,50,6.38
Cock & Bull,2009,62,6.57
Uno: Super Mario,2016,118,6.16
Captain Black,2015,60,6.26
Mausgeflippt,2009,116,5.95
Steven Universe: Beach-A-Palooza Card Battling Game,2020,30,7.41
Monster City Planners,2013,53,6.31
Dragon Ball Z TCG (2014 edition),2014,33,7.03
Optimates et Populares,2017,38,6.58
"Lille: The Classic Vauban Siege, 1708",1978,37,6.72
Kraken-Alarm,2010,141,5.9
Anno Domini: Münzen,2002,43,6.46
Castles of Caleira,2018,67,6.18
Lembitu,2015,60,6.43
Showdown Yahtzee,1991,181,5.78
Helios Expanse,2019,30,7.01
Zaginione Dziedzictwo: Wieża Białozłota,2015,59,6.28
Stratego Tournament,2001,51,6.37
Imaginiff: 10th Anniversary Edition,2008,110,6.02
Science Ninjas: Valence,2015,56,6.43
Terakh: A Creative Strategy Game,2005,135,5.91
Seii Taishogun,2008,35,7.07
Trollfjord,2018,142,5.93
Plunder,2013,133,5.88
Rory's Story Cubes: Explore,2017,42,6.69
Qwarks,2017,36,6.9
Blindes Huhn,2007,110,5.97
Stoner Fluxx,2003,723,5.7
Mouse Match,2007,69,6.14
Punch!,2005,77,6.31
Kibble Scuffle,2019,52,6.28
Banjooli Xeet (Second Edition),2018,37,7.06
El Aprendiz de Merlín,2018,41,7.08
Wackee SIX,2004,71,6.25
¡Arre Unicornio!,2018,60,6.65
Reis de Portugal,2014,53,6.41
Quizzle,1978,37,6.65
In A Bind Jr,2016,33,7.02
The Campaigns of Frederick the Great,1993,63,6.22
Sceptre 1027 A.D.,1986,47,6.66
Zambezi: The Expedition Game,2015,65,6.25
Warhammer Fantasy Battle (Third Edition),1987,30,7.22
Power Play: Schemes & Skulduggery,2014,39,7.07
Private Die,2016,50,6.63
Battleship Live,2010,49,6.42
Straszydła,2019,34,7.25
Tropico,2017,48,6.38
The Air-Eaters Strike Back!,1981,50,6.57
Brewhouse Bash,1998,59,6.23
Kokopelli,2021,39,6.61
Patton Goes to War,1987,55,6.42
Legends of Empires,2016,59,6.27
Wolves of Mercia,2019,64,6.89
MacArthur's Return: Leyte 1944,1994,56,6.59
MeowMeow Mia,2018,34,6.96
From Overlord to Berlin,2010,33,6.94
U.S.S. Freedom,2021,35,8.69
"The Lost Battalion: The Meuse-Argonne Offensive, 1918",2003,41,6.75
Spy or Die Trying,2013,50,6.6
Guadalcanal,1966,147,5.87
Retsami,2006,65,6.29
Mafia the Party Game,2014,40,6.89
7 pecados,2017,109,6.18
PaiMiahhh,2016,38,6.57
Bellum,2017,38,6.96
APBA American Saddle Racing,1970,44,6.8
Master Thief,2017,62,6.46
Magic: The Gathering - Duel Decks: Speed vs. Cunning,2014,39,6.78
The Pioneers Program,2017,87,6.27
Pokémon Master Trainer II,2001,77,6.62
Town of Salem: The Card Game,2017,102,6.33
Construction Zone,2012,129,5.88
New Orleans Big Band,1990,131,5.85
Amalfi,2020,35,6.99
Crazy Mistigri,2016,118,6.03
Quantik,2019,127,5.9
Tiku,1993,36,6.8
Royal Defense,2016,30,7.77
Panzer General: Russian Assault,2010,92,6.01
Z-G,2001,38,6.68
Cat'astrophes,2018,83,6.12
Malacca,2013,95,6.09
Diceland: Dragons,2005,44,6.42
TRIUMPH: A card-arranging strategy game,2016,37,7.02
News@11,2015,63,6.2
Liar!,2005,44,6.55
In Flanders Fields,1998,43,6.62
Red Army: The Destruction of Army Group Center,1982,68,6.22
Okinawa: The Bloodiest Battle of the Pacific Ocean,1979,99,6.2
Avalanche at Yeti Mountain,2016,178,5.77
Scrappers,2009,194,5.85
Mat Goceng,2013,55,6.59
Orchard: The Card Game,2009,59,6.29
Mohawk,1983,40,7.18
Haste Worte? Das Würfelspiel,2018,34,6.68
Gangs of Britannia,2018,39,7.18
Pass-Ackwords,2012,45,6.39
Dvorak,2000,33,6.83
North Pole,2011,65,6.3
Runaljod: The sound of the runes,2019,46,7.54
Der geheimnisvolle Zaubersee,2018,33,6.85
The Battle for Jerusalem 1967,1977,34,6.88
Zampa La Granja,2017,55,6.45
Firefight: Modern U.S. and Soviet Small Unit Tactics,1976,210,5.92
Tausch Rausch,2015,85,5.99
Napoleon and the Archduke Charles: The Battle of Abensberg,1987,85,6.03
Decision: Iraq,2013,34,6.69
Stalin's Tanks: Armor Battles on the Russian Front,1980,60,6.29
El Switcher,2013,43,6.62
Lemuria,2014,56,6.27
Gnomi,2016,51,6.36
Kathai,2000,170,5.76
Fiasko,1997,87,6.0
Confrontation,1974,37,6.74
Wolsung Steampunk Skirmish Game,2011,36,8.3
Buzz It!,2010,337,5.67
Sprouts,1967,108,5.96
Galaktico,2009,46,6.49
"Road to Richmond: The Peninsular Campaign, May-July, 1862",1977,109,6.07
RisiKo! Challenge,2010,86,6.21
Saga,1980,151,5.83
NXS,2015,51,7.13
Dice of Pirates,2018,89,6.25
August Fury,1990,38,6.63
Letter Roll,2009,78,6.16
Comment j'ai adopté un gnou,2014,44,6.41
11 de Setembre. Setge 1714,2008,42,6.36
Castlecards,2016,52,6.4
Polyssimo Challenge,2018,38,6.99
Family Flutter-By,2016,111,5.97
Taiwan Monsters Brawl,2016,53,6.53
Word Porters,2016,50,6.3
"The First Afghan War, 1839-42",1996,48,6.43
Blue Banana,2019,61,6.16
Magestones,1990,113,5.97
Jailbreak,1982,95,6.05
The Lords of Underearth,1981,73,6.2
Alien Space Battle Manual,1973,39,7.05
Autumn,2015,48,6.55
Sherlock Holmes: The Challenge Of Irene Adler,2016,34,6.77
Castle Danger,2002,42,6.58
Hero's Crossing,2017,57,6.76
Double Feature,2015,174,5.94
Marine: 2002 - A Game of the First Lunar War,1979,84,6.22
Void 1.1,2003,39,6.78
Finger Football,2005,38,6.59
Sunrise of Victory: The 1942 Campaign in Russia,1990,42,6.56
On to Moscow,1994,58,6.34
Nomads of Arabia: The Wandering Herds Game,2006,84,6.04
Tyranid Attack,1992,101,6.0
Chop! Chop!,2017,37,6.7
Mechaton:  Giant Fighty Robots,2006,45,6.98
GobbleStones,2015,119,5.91
You Must Be an Idiot!,2005,211,5.73
Scum: The Food Chain Game,1996,204,5.74
Tenka,2008,55,6.3
Elefantenparade,1988,187,5.78
Fuzzy Tiger,2009,64,6.12
Mini Mastermind,1972,492,5.67
カマクラコレクション (Kamakura Collection),2018,40,6.49
CLUE: The Big Bang Theory,2013,249,5.88
We Come in Peace,2016,66,6.39
Dragon's Ransom,2015,93,6.05
Shenandoah: A Civil War Games of the Valley Campaigns - 1862 and 1864,1975,30,7.22
Raider!: A Tactical Game of Commerce Raiding in WWII,1981,42,6.91
Nine Navies War,2007,49,6.51
Crash Canyon,1989,66,6.2
Les Nettoyeurs,2009,34,7.35
Tantrix Gobble,2009,42,6.55
Number Rumba!,1991,41,7.15
MUNERA: Familia Gladiatoria,2010,147,6.11
Gone Fishing,2019,32,6.86
Tokami,1998,39,6.51
Flashpoint,0,32,6.78
Loser,2018,64,6.21
N-Tropy,2004,198,5.77
Letter GO!,2018,33,6.82
15,2011,105,5.89
Rats to Riches,2019,37,7.11
duck! duck! SAFARI!,2009,89,6.0
Fantasy Forest,1980,108,6.08
Secrets of the Third Reich,2008,35,8.37
Qwitch,2002,259,5.66
Planet Rush,2016,32,6.79
Disastles,2018,80,7.27
Electronic Guesstures,2005,68,6.11
Bleff,0,39,6.73
Night Eternal: The Game,2013,76,6.06
Napoleon,1800,30,6.94
Tous au dodo,2006,45,6.44
Europe at War,1985,63,6.36
Sergeants: On the Eastern Front,2004,77,6.15
Meepile,2008,62,6.14
Baseball Strategy,1960,214,5.76
Cinco,2010,148,5.86
Tile Rummy,1983,33,6.86
Scotland Yard,1982,62,6.37
The Battle of Red Cliffs,2009,87,5.96
Engage,2011,37,7.07
Halfling Feast,2015,81,6.07
ひとひら (Hitohira),2015,41,6.45
EXO: Mankind Reborn,2019,119,6.47
Priceless,1996,107,5.96
Cartography,2015,83,6.28
Das letzte Paradies,1993,164,5.78
Super Giant Monster Showdown,1999,91,6.0
Victory at Sea,1992,34,7.05
Rubik's Flip,1981,119,5.91
Nope!,2019,76,6.04
Cash,1990,163,5.76
Yellowstone,1985,220,5.74
Celtic,2020,41,6.51
Mandrago,2016,33,7.3
Monty's D-Day,1985,62,6.25
Lunch Money,1996,2565,5.64
All The King's Men,1970,407,5.68
