Name,Year Published,Users Rated,Rating Average
Ginkgopolis,2012,4991,7.43
Friday,2011,16501,7.14
One Night Ultimate Werewolf,2014,21482,7.14
Junk Art,2016,5449,7.43
Time's Up! Title Recall!,2008,3122,7.71
Fire in the Lake,2014,2258,8.07
Imperial Settlers: Empires of the North,2019,3885,7.61
The Fox in the Forest,2017,8895,7.25
Betrayal Legacy,2018,3180,7.83
Libertalia,2012,12435,7.16
Stuffed Fables,2018,4451,7.57
Airlines Europe,2011,6825,7.31
Aeon's End: The New Age,2019,1383,8.75
Vinhos,2010,4447,7.49
Elysium,2015,8502,7.23
Ingenious,2004,15633,7.12
Thurn and Taxis,2006,18128,7.1
KeyForge: Call of the Archons,2018,9343,7.28
TZAAR,2007,3223,7.66
The Colonists,2016,3406,7.65
Pipeline,2019,3006,7.75
Photosynthesis,2017,16757,7.13
Tales of the Arabian Nights,2009,11581,7.2
Vikings,2007,7935,7.25
Queendomino,2017,8016,7.26
Chess,1475,28745,7.13
Argent: The Consortium,2015,3170,7.68
Exit: The Game - Dead Man on the Orient Express,2017,3024,7.71
Potion Explosion,2015,13444,7.15
Pathfinder Adventure Card Game: Rise of the Runelords - Base Set,2013,12022,7.2
RoboRally,1994,22465,7.08
Taj Mahal,2000,7087,7.28
Last Will,2011,9043,7.19
Escape Plan,2019,3522,7.62
Sushi Go!,2013,34794,7.05
Runebound (Third Edition),2015,4988,7.51
Star Wars: X-Wing Miniatures Game - The Force Awakens Core Set,2015,2814,7.81
StarCraft: The Board Game,2007,7052,7.34
No Thanks!,2004,20354,7.05
Black Orchestra,2016,4263,7.52
Hammer of the Scots,2002,3849,7.55
Bohnanza,1997,38260,7.04
Tekhenu: Obelisk of the Sun,2020,2329,7.96
Citadels,2016,7632,7.31
Colosseum,2007,8444,7.22
Port Royal,2014,12971,7.14
Chicago Express,2007,7408,7.23
Nexus Ops,2005,8487,7.22
Paperback,2014,8942,7.18
Karuba,2015,8690,7.21
Baseball Highlights: 2045,2015,3675,7.55
Discworld: Ankh-Morpork,2011,9247,7.23
Evolution,2014,13614,7.13
Automobile,2009,5375,7.34
Conan,2016,3959,7.71
1846: The Race for the Midwest,2005,2150,7.94
A Game of Thrones,2003,10151,7.21
Fantasy Realms,2017,4396,7.45
Alhambra,2003,28689,7.03
Pax Porfiriana,2012,2994,7.68
Francis Drake,2013,4517,7.42
Blood Bowl (2016 Edition),2016,2231,8.07
AquaSphere,2014,6472,7.28
DVONN,2001,4455,7.44
Carson City,2009,6744,7.25
Star Wars: Destiny,2016,4591,7.53
Sprawlopolis,2018,4117,7.48
Camel Up,2014,22805,7.05
A Game of Thrones: The Card Game (Second Edition),2015,4211,7.56
Dwellings of Eldervale,2020,1591,8.52
Earth Reborn,2010,3241,7.66
Zombicide,2012,16553,7.16
Blackout: Hong Kong,2018,3738,7.51
Gears of War: The Board Game,2011,4696,7.46
Railroad Ink: Deep Blue Edition,2018,6520,7.28
Love Letter Premium,2016,4322,7.46
Broom Service,2015,8094,7.19
Struggle of Empires,2004,3804,7.51
Wavelength,2019,3747,7.52
Quantum,2013,6543,7.28
Tobago,2009,10630,7.11
Forgotten Waters,2020,1807,8.22
Snowdonia,2012,4553,7.37
Obsession,2018,1828,8.25
Space Empires: 4X,2011,3038,7.68
Carcassonne: Hunters and Gatherers,2002,11118,7.13
Jamaica,2007,16269,7.06
Hadara,2019,3767,7.48
Mare Nostrum: Empires,2016,3453,7.57
Magic Maze,2017,15632,7.05
The Republic of Rome,1990,3921,7.53
Through the Desert,1998,12717,7.07
Thebes,2007,9175,7.14
Triumph & Tragedy: European Balance of Power 1936-1945,2015,1800,8.18
Las Vegas,2012,9242,7.13
Coup,2012,36020,7.01
One Night Ultimate Werewolf Daybreak,2015,4874,7.38
Trains,2012,7667,7.17
Valeria: Card Kingdoms,2016,4124,7.45
Taluva,2006,7798,7.17
Thunderstone Advance: Towers of Ruin,2012,4595,7.37
Summoner Wars,2009,6215,7.26
Sidereal Confluence: Remastered Edition,2017,2350,7.81
Shadows of Brimstone: Swamps of Death,2014,2193,8.04
Shakespeare,2015,3831,7.44
Belfort,2011,5954,7.24
Dixit: Journey,2012,4197,7.42
The Battle of Five Armies,2014,2271,7.87
Formula D,2008,17148,7.02
Betrayal at House on the Hill,2004,37065,7.06
Pax Renaissance,2016,1902,8.04
Time's Up!,1999,5043,7.29
Dice Throne: Season One,2018,3802,7.65
"Unmatched: Battle of Legends, Volume One",2019,2059,8.03
Smash Up: Awesome Level 9000,2013,6499,7.25
Luna,2010,4487,7.33
Defenders of the Realm,2010,5217,7.3
Cuba Libre,2013,2542,7.7
Mr. Jack,2006,15349,7.01
Zombicide: Green Horde,2018,2889,7.82
ZhanGuo,2014,2863,7.59
Torres,1999,8734,7.12
Myrmes,2012,5058,7.28
Cuba,2007,7899,7.14
Lord of the Rings: The Confrontation,2002,6541,7.19
Oceans,2020,2782,7.7
Wallenstein,2002,3502,7.47
Warhammer Quest: The Adventure Card Game,2015,4910,7.37
Star Trek: Ascendancy,2016,2622,7.8
Fury of Dracula (Second Edition),2005,8982,7.12
Skull King,2013,4115,7.39
Medici,1995,7146,7.15
Exit: The Game - The Pharaoh's Tomb,2016,5329,7.22
Specter Ops,2015,5631,7.23
The Downfall of Pompeii,2004,7377,7.13
Coloretto,2003,18014,6.97
Leaving Earth,2015,2353,7.8
Escape: The Curse of the Temple,2012,15482,6.99
Kingdom Builder,2011,19682,6.96
Tokaido,2012,20663,6.99
Elder Sign,2011,22154,6.98
Steampunk Rally,2015,5743,7.22
Star Wars: X-Wing (Second Edition),2018,1689,8.29
Vegas Showdown,2005,6080,7.17
Cacao,2015,8315,7.1
Arkwright,2014,1999,7.86
Up Front,1983,2156,7.86
Yamataï,2017,5451,7.22
Eminent Domain,2011,9520,7.05
Advanced Squad Leader: Starter Kit #1,2004,2380,7.82
The Networks,2016,5269,7.22
High Society,1995,8929,7.05
The Duke,2013,3782,7.38
Tash-Kalar: Arena of Legends,2013,6071,7.18
The King's Dilemma,2019,1746,8.09
Praga Caput Regni,2020,1459,8.33
Arcadia Quest: Inferno,2017,1932,8.02
Love Letter: Batman,2015,5032,7.27
BANG! The Dice Game,2013,19826,6.95
Mandala,2019,2338,7.71
K2,2010,9076,7.06
Space Hulk,1989,3638,7.48
The Oracle of Delphi,2016,4206,7.3
Cry Havoc,2016,5901,7.21
HeroQuest,1989,10992,7.14
Dawn of the Zeds (Third Edition),2016,1584,8.22
Dragon Castle,2017,5628,7.21
Shipyard,2009,3715,7.36
Century: Eastern Wonders,2018,5556,7.22
Yspahan,2006,7746,7.08
Empires: Age of Discovery,2015,1890,7.89
Between Two Castles of Mad King Ludwig,2018,3947,7.33
Onirim (Second Edition),2014,8119,7.09
Middle-Earth Quest,2009,3946,7.38
Silver & Gold,2019,3692,7.36
Zombicide Season 2: Prison Outbreak,2013,4257,7.39
Mexica,2002,5063,7.24
Coal Baron,2013,4305,7.29
Crusaders: Thy Will Be Done,2018,2675,7.59
Ashes Reborn: Rise of the Phoenixborn,2015,5123,7.29
Between Two Cities,2015,9486,7.03
Wir sind das Volk!,2014,1987,7.84
